영화명,매출액,관객수,대표국적,배급사,제작국가,감독,장르1,장르2,장르3,장르4,장르5,장르6,장르7
폭력써클,158054900,24674,3,2.9,한국,박기형,애니메이션,멜로/로맨스,,,,,
환상의 그대,198609500,24667,2,(주)티캐스트,미국,우디 알렌,드라마,기타,,,,,
겨울왕국의 무민,132193500,24658,0,(주)팝엔터테인먼트,"핀란드,폴란드","야쿱 론스키,이라 카르페란",애니메이션,드라마,가족,,,,
밀림의 왕자 레오: 세상을 바꾸는 용기,154900000,24640,1,"(주)박수엔터테인먼트,에이원엔터테인먼트",일본,타니구치 고로,액션,드라마,,,,,
하이-라이즈,192162100,24600,0,찬란,영국,벤 휘틀리,다큐멘터리,,,,,,
키즈모노가타리 I : 철혈편,187425500,24536,1,(주)박수엔터테인먼트,일본,신보 아키유키,드라마,,,,,,
,,,0,,,,공포(호러),,,,,,
,,,0,,,,드라마,,,,,,
나이스 가이즈,189535838,24471,2,1.1,미국,쉐인 블랙,애니메이션,액션,어드벤처,,,,
진격의 거인: 홍련의 화살,192575800,24450,1,(주)박수엔터테인먼트,일본,아라키 테츠로,드라마,,,,,,
꿈의 제인,200096200,24393,3,"(주)엣나인필름,CGV아트하우스",한국,조현훈,액션,스릴러,,,,,
님포매니악 볼륨2,201908933,24388,0,CGV아트하우스,"덴마크,벨기에,프랑스,독일,영국",라스 폰 트리에,멜로/로맨스,드라마,,,,,
"안녕, 나의 소울메이트",191541500,24381,0,(주)나이너스엔터테인먼트,홍콩,증국상,드라마,,,,,,
종이 달,197236200,24381,1,"(주)영화사오원,(주)퍼스트런",일본,요시다 다이하치,미스터리,스릴러,,,,,
노크: 초대받지 않은 손님,206605250,24379,2,(주)삼백상회,미국,조하네스 로버츠,애니메이션,액션,어드벤처,가족,,,
원라이프,163408600,24348,0,3,영국,"마이클 건톤,마샤 홈즈",미스터리,스릴러,,,,,
슈퍼오리 : 태양을 지켜라,170800400,24319,0,와이드 릴리즈(주),러시아,빅터 라키소프,애니메이션,드라마,판타지,액션,,,
,,,0,,,,스릴러,드라마,,,,,
아부지,126094500,24224,3,실버스푼,한국,배해성,멜로/로맨스,코미디,,,,,
더 데이,192005000,24163,3,롯데쇼핑㈜롯데시네마,미국,더글러스 아니오코스키,액션,서부극(웨스턴),,,,,
,,,0,,,,드라마,,,,,,
,,,0,,,,코미디,드라마,,,,,
레전드 오브 래빗: 불의 전설,178371100,24111,0,(주)팝엔터테인먼트,중국,"마원,동대가",애니메이션,,,,,,
,,,0,,,,애니메이션,,,,,,
캡틴 스터비,176600600,24091,2,(주)디스테이션,"미국,아일랜드,프랑스,캐나다,영국",리처드 라니,전쟁,스릴러,,,,,
스즈미야 하루히의 소실,166044500,24055,1,에이원엔터테인먼트,일본,"이시하라 타츠야,타케모토 야스히로",판타지,가족,,,,,
해피 플라이트,165981000,24022,1,프리비젼엔터테인먼트,일본,야구치 시노부,코미디,멜로/로맨스,,,,,
,,,0,,,,뮤지컬,코미디,공포(호러),,,,
,,,0,,,,애니메이션,어드벤처,가족,코미디,,,
,,,0,,,,멜로/로맨스,드라마,,,,,
자전거 탄 소년,187748800,23929,0,(주)티캐스트,"벨기에,프랑스","장 피에르 다르덴,뤽 다르덴",가족,드라마,,,,,
,,,0,,,,애니메이션,,,,,,
GROW: 인피니트의 리얼 청춘 라이프,189409200,23865,3,골든타이드픽처스(주),한국,김진수,드라마,,,,,,
남주기 아까운 그녀,148149000,23858,2,1.7,미국,폴 웨이랜드,드라마,,,,,,
,,,0,,,,애니메이션,,,,,,
,,,0,,,,멜로/로맨스,,,,,,
,,,0,,,,드라마,,,,,,
고스트 메신저 극장판,184194000,23802,3,에이원엔터테인먼트,한국,구봉회,사극,액션,,,,,
렌트,151780000,23785,2,㈜스튜디오이쩜영,미국,크리스 콜럼버스,드라마,멜로/로맨스,,,,,
45년 후,184465318,23707,0,판씨네마(주),영국,앤드류 헤이,코미디,드라마,멜로/로맨스,,,,
아마조니아,169462200,23704,0,"(주)영화사 빅,(주)아컴스튜디오","프랑스,브라질",티에리 라고베르트,애니메이션,멜로/로맨스,,,,,
언프렌드,187802900,23688,0,(주)크리픽쳐스,독일,시몬 베호벤,가족,드라마,,,,,
파워배틀 와치카: 와치가면의 역습,166656500,23630,3,(주)삼지애니메이션,한국,"이영준,김래경",다큐멘터리,,,,,,
MR. 후아유,156714500,23626,2,필름메신저,미국,프랭크 오즈,드라마,코미디,,,,,
타임 투 러브,179611300,23597,2,(주)인벤트스톤,미국,저스틴 리어든,애니메이션,,,,,,
사이코패스,191148000,23586,1,(주)박수엔터테인먼트,일본,시오타니 나오요시,드라마,,,,,,
폭풍의 언덕,166320300,23573,0,찬란,영국,안드레아 아놀드,멜로/로맨스,,,,,,
레이디 맥베스,183617800,23568,0,주식회사 씨네룩스,영국,윌리엄 올드로이드,드라마,,,,,,
빨간머리 앤 : 그린게이블로 가는 길,165880000,23531,1,(주)미디어데이,일본,다카하타 이사오,다큐멘터리,,,,,,
디노타샤: 공룡대탐험,165071000,23530,2,(주)영화사 빅,미국,"데이빗 크렌츠,에릭 넬슨",드라마,어드벤처,판타지,,,,
하이 스피드! ?프리! 스타팅 데이즈-,172018500,23496,1,(주)박수엔터테인먼트,일본,타케모토 야스히로,애니메이션,어드벤처,,,,,
서칭 포 슈가맨,169476600,23484,0,판씨네마(주),"스웨덴,영국",말릭 벤젠룰,멜로/로맨스,드라마,,,,,
제인 도,183443765,23469,0,오퍼스픽쳐스,"영국,미국",안드레 외브레달,다큐멘터리,,,,,,
코드네임 제로니모,145151000,23462,2,씨너스엔터테인먼트(주),미국,존 스톡웰,코미디,액션,,,,,
토마스와 친구들: 수수께끼 해적선과 보물찾기,155824700,23395,0,KBS 미디어,영국,데이비드 스토튼,미스터리,드라마,,,,,
지상의 별처럼,150087500,23381,0,(주)엣나인필름,인도,"아미르 칸,아몰 굽트",드라마,,,,,,
개들의 전쟁,171004571,23350,3,2,한국,조병옥,다큐멘터리,,,,,,
미스터 캣,181383750,23350,0,(주)리틀빅픽쳐스,"프랑스,중국",배리 소넨필드,드라마,멜로/로맨스,,,,,
로건 럭키,180226600,23336,2,(주)스톰픽쳐스코리아,미국,스티븐 소더버그,드라마,멜로/로맨스,,,,,
드래곤볼 Z : 부활의 F,176019000,23294,1,3,일본,야마무로 타다요시,애니메이션,,,,,,
쉘 위 키스,163668500,23287,0,프리비젼엔터테인먼트,프랑스,엠마누엘 무레,드라마,,,,,,
사울의 아들,186727643,23276,0,그린나래미디어(주),헝가리,라즐로 네메스,다큐멘터리,,,,,,
디스커넥트,161108704,23255,2,(주)영화사 빅,미국,헨리 알렉스 루빈,드라마,멜로/로맨스,,,,,
사요나라 이츠카,179113500,23229,3,2.6,"한국,태국,일본",0.1,애니메이션,어드벤처,,,,,
부에노스 아이레스에서 사랑에 빠질 확률,179314000,23203,0,(주)영화사 진진,"아르헨티나,스페인,독일",구스타보 타레토,미스터리,드라마,,,,,
"세라비, 이것이 인생!",185457800,23193,0,(주)디스테이션,프랑스,"올리비에르 나카체,에릭 토레다노",범죄,드라마,스릴러,액션,,,
,,,0,,,,애니메이션,판타지,어드벤처,,,,
거인,175333400,23153,3,필라멘트픽쳐스,한국,김태용,액션,코미디,SF,,,,
짓,162540500,23052,3,(주)팝파트너스,한국,한종훈,애니메이션,액션,어드벤처,,,,
극장판 프리! - 테이크 유어 마크 -,138630500,23048,1,(주)디스테이션,일본,카와나미 에이사쿠,멜로/로맨스,드라마,,,,,
,,,0,,,,멜로/로맨스,드라마,,,,,
힛쳐,153080000,23025,2,(주)씨지브이신도림,미국,데이브 메이어스,코미디,공포(호러),,,,,
리틀 뱀파이어,164278600,23014,0,(주)이수C&E,"독일,미국","리처드 클라우스,카르스텐 킬레리치",공연,,,,,,
알렉스 크로스,164165000,22978,2,(주)인벤트스톤,미국,롭 코헨,드라마,스릴러,,,,,
비정한 도시 감독판,161959057,22900,3,(주)인벤트스톤,한국,김문흠,애니메이션,,,,,,
초속5센티미터,154055500,22888,1,"대원디지털엔터테인먼트,(주)팝엔터테인먼트",일본,신카이 마코토,드라마,다큐멘터리,,,,,
"봄, 눈",143518000,22870,3,2.8,한국,김태균,드라마,미스터리,스릴러,,,,
디트로이트,195105700,22841,2,그린나래미디어(주),미국,캐서린 비글로우,드라마,,,,,,
,,,0,,,,코미디,드라마,,,,,
유리정원,160437700,22752,3,(주)리틀빅픽쳐스,한국,신수원,코미디,범죄,,,,,
피아니스트 세이모어의 뉴욕 소네트,185082700,22734,2,(주)영화사 진진,미국,에단 호크,드라마,,,,,,
혐오스런 마츠코의 일생,147557500,22723,1,스폰지,일본,나카시마 테츠야,범죄,드라마,스릴러,,,,
펭이와 친구들의 남극대모험,168968800,22695,0,와이드 릴리즈(주),중국,루카스 퀴아오,드라마,,,,,,
,,,0,,,,드라마,전쟁,,,,,
스페이스 침스 - 자톡의 역습 3D,210060100,22655,2,㈜케이디미디어,미국,존 H. 윌리엄스,스릴러,공포(호러),,,,,
스테이션 7,169220100,22536,0,(주)영화사 진진,러시아,클림 시펜코,드라마,,,,,,
윌리,177521800,22531,0,㈜코리아스크린,말레이시아,칼 멘데스,드라마,스릴러,멜로/로맨스,,,,
송 투 송,172525100,22518,2,CGV아트하우스,미국,테렌스 맬릭,드라마,,,,,,
엘리제궁의 요리사,170548500,22416,0,판씨네마(주),프랑스,크리스티앙 뱅상,드라마,,,,,,
마징가 Z: 인피니티,183107900,22407,1,(주)이수C&E,일본,시미즈 준지,코미디,,,,,,
연애담,182696100,22380,3,(주)인디플러그,한국,이현주,다큐멘터리,,,,,,
스킵트레이스: 합동수사,163700300,22350,0,(주)영화사 빅,"홍콩,미국,중국",레니 할린,애니메이션,,,,,,
잉여들의 히치하이킹,154223500,22166,3,CGV아트하우스,한국,이호재,드라마,,,,,,
아이 캔 온리 이매진,182789600,22120,2,"(주)영화사 그램,TCO(주)더콘텐츠온",미국,"앤드류 어윈,존 어윈",애니메이션,,,,,,
프로스트 VS 닉슨,148227500,22114,2,1.4,미국,론 하워드,애니메이션,,,,,,
까밀 리와인드,164661000,22100,0,(주)엣나인필름,프랑스,노에미 르보브스키,다큐멘터리,,,,,,
크로우즈 제로,142006500,22097,1,2.9,일본,미이케 다카시,드라마,멜로/로맨스,,,,,
엔들리스 러브,165237000,22091,2,1.4,미국,샤나 페스트,액션,,,,,,
,,,0,,,,코미디,,,,,,
사이드웨이,142913000,21975,2,1.3,미국,알렉산더 페인,애니메이션,코미디,판타지,,,,
파수꾼,169741700,21963,3,필라멘트픽쳐스,한국,윤성현,다큐멘터리,공연,,,,,
터닝메카드W: 반다인의 비밀 특별판,164797700,21947,3,"(주)제이앤씨미디어그룹,(주)아컴스튜디오",한국,홍헌표,애니메이션,멜로/로맨스,,,,,
극장판 뛰뛰빵빵 구조대 미션: 둥둥이를 구하라!,144062800,21939,3,1.1,한국,방형우,드라마,,,,,,
천하무적 키코리키,149655900,21889,0,와이드 릴리즈(주),러시아,데니스 체르노프,스릴러,드라마,,,,,
원더 휠,173610195,21884,2,(주)팝엔터테인먼트,미국,우디 앨런,드라마,,,,,,
사이비,162722300,21864,3,2.8,한국,0.4,스릴러,범죄,,,,,
무문관,166650700,21808,3,영화사 마농(주),한국,박대원,코미디,드라마,,,,,
행복 목욕탕,168644600,21806,1,(주)디스테이션,일본,나카노 료타,드라마,기타,,,,,
플레이스 비욘드 더 파인즈,161160500,21747,2,(주)미디어데이,미국,데릭 시엔프랜스,드라마,멜로/로맨스,,,,,
레이드 : 첫번째 습격,163320500,21705,0,3,인도네시아,가렛 에반스,멜로/로맨스,,,,,,
시크릿 인 데어 아이즈,162031200,21692,2,판씨네마(주),미국,빌리 레이,스릴러,,,,,,
히야,173844100,21687,3,(주)라이크 콘텐츠,한국,김지연,드라마,스릴러,,,,,
,,,0,,,,드라마,,,,,,
피나,400077000,21617,0,㈜영화사 백두대간,"독일,프랑스,영국",빔 벤더스,애니메이션,가족,드라마,,,,
클라우즈 오브 실스마리아,171434299,21607,0,(주)나이너스엔터테인먼트,"프랑스,스위스,독일",올리비에 아사야스,드라마,액션,,,,,
차일드 44,168643231,21604,2,2.8,미국,다니엘 에스피노사,드라마,,,,,,
해피 투게더,171583850,21596,3,플레이리스트(주),한국,김정환,SF,스릴러,드라마,미스터리,,,
초원의 왕 도제,148292600,21424,1,(주)나이너스엔터테인먼트,일본,코지마 마사유키,코미디,드라마,,,,,
,,,0,,,,다큐멘터리,,,,,,
,,,0,,,,드라마,스릴러,,,,,
아스테릭스: 미션 올림픽 게임,134805000,21355,0,2.8,프랑스,프레더릭 포레스티에,드라마,,,,,,
천안함 프로젝트,158528500,21316,3,(주)아우라픽처스,한국,백승우,드라마,코미디,,,,,
웨딩스캔들,138695000,21295,3,(주)마인스 엔터테인먼트,한국,신동엽,코미디,멜로/로맨스,,,,,
이브 생 로랑,166422300,21280,0,(주)블룸즈베리파트너스,프랑스,자릴 레스페르,애니메이션,코미디,어드벤처,가족,,,
그 사람 그 사랑 그 세상,149047500,21268,3,"THE 픽쳐스,(주)팝엔터테인먼트",한국,권혁만,애니메이션,어드벤처,액션,,,,
"지금, 이대로가 좋아요",143274500,21244,3,"(주)스폰지이엔티,스폰지",한국,부지영,다큐멘터리,,,,,,
60만번의 트라이,147541300,21239,3,㈜인디스토리,"한국,일본","박사유,박돈사",드라마,,,,,,
그리스 로마신화 - 올림포스 가디언 - 기간테스 대역습,120106500,21177,3,"(주)스폰지이엔티,스폰지",한국,김준,드라마,멜로/로맨스,,,,,
휘트니,174187027,21175,2,판씨네마(주),미국,케빈 맥도널드,드라마,,,,,,
쿨,136647000,21171,2,1.3,미국,F. 게리 그레이,드라마,,,,,,
리즈와 파랑새,174140400,21153,1,"(주)디스테이션,플레이리스트(주)",일본,야마다 나오코,드라마,,,,,,
트립 투 이탈리아,162320800,21136,0,찬란,영국,마이클 윈터바텀,드라마,,,,,,
스테이지 뷰티,141693000,21114,0,㈜메가박스,영국,리차드 이어,코미디,드라마,,,,,
사이에서,109238600,21016,3,"필름메신저,씨제이 씨지브이(CJ CGV)(주)",한국,"어일선,민두식",드라마,,,,,,
,,,0,,,,애니메이션,,,,,,
다이노 헌터: 티렉스VS파키리노 대격돌,169760400,20979,0,(주)박수엔터테인먼트,영국,"닐 나이팅게일,베리 쿡,앤드류 코헨",액션,스릴러,범죄,,,,
그랜드 피아노,149337000,20961,0,와이드 릴리즈(주),스페인,유지니오 미라,코미디,,,,,,
,,,0,,,,드라마,미스터리,,,,,
,,,0,,,,드라마,,,,,,
죄 많은 소녀,178202950,20868,3,CGV아트하우스,한국,김의석,애니메이션,,,,,,
,,,0,,,,미스터리,스릴러,,,,,
아기기린 자라파,133077000,20811,0,2,"프랑스,벨기에","레미 베잔송,장-클리스토페 리에",드라마,,,,,,
,,,0,,,,드라마,전쟁,,,,,
프란츠,150974100,20760,0,찬란,프랑스,프랑수아 오종,드라마,,,,,,
,,,0,,,,코미디,드라마,,,,,
싸이보그 그녀,136587500,20696,3,2.8,"한국,일본",곽재용,공포(호러),스릴러,,,,,
스윗 프랑세즈,153528300,20694,0,그린나래미디어(주),"영국,프랑스,미국",사울 딥,애니메이션,,,,,,
씨노이블,137256500,20648,2,(주)미로비젼,미국,그레고리 다크,뮤지컬,멜로/로맨스,,,,,
소녀,153877000,20594,3,3,한국,최진성,드라마,미스터리,SF,스릴러,,,
호밀밭의 반항아,171244157,20553,2,(주)트리플픽쳐스,미국,대니 스트롱,애니메이션,,,,,,
,,,0,,,,멜로/로맨스,코미디,,,,,
플라이트,150391500,20491,2,3,미국,로버트 저메키스,멜로/로맨스,코미디,,,,,
,,,0,,,,코미디,드라마,,,,,
세기의 매치,155570400,20448,2,판씨네마(주),미국,에드워드 즈윅,드라마,,,,,,
날아라 펭귄,143295000,20369,3,스튜디오느림보,한국,임순례,드라마,,,,,,
도마 안중근,128953000,20318,3,(주)소스원프로덕션,한국,서세원,드라마,멜로/로맨스,,,,,
토너먼트,162232000,20316,0,주식회사 마운틴픽쳐스,영국,스콧 만,멜로/로맨스,드라마,,,,,
완전 소중한 사랑,129614500,20303,3,주식회사 마운틴픽쳐스,한국,김진민,애니메이션,액션,어드벤처,,,,
은하수를 여행하는 히치하이커를 위한 안내서,138314500,20292,2,브에나비스타인터내셔널코리아,미국,가스 제닝스,드라마,코미디,,,,,
연을 쫓는 아이,127214500,20244,2,2.6,미국,마크 포스터,드라마,다큐멘터리,,,,,
콜링 인 러브,150187500,20243,2,㈜케이디미디어,미국,제임스 도드슨,드라마,,,,,,
어크로스 더 유니버스,142189500,20240,2,1.7,미국,줄리 테이머,액션,코미디,범죄,,,,
초코초코 대작전,118717500,20159,1,2,일본,하마나 타카유키,범죄,액션,,,,,
꼬마마녀 요요와 네네,133369000,20146,1,"㈜T-JOY,씨너스엔터테인먼트(주)",일본,히라오 타카유키,드라마,,,,,,
,,,0,,,,다큐멘터리,,,,,,
난 그녀와 키스했다,155762798,20056,0,(주)엣나인필름,프랑스,"막심 고바레,노에미 사글리오",드라마,,,,,,
나쁜 교육,132891500,20050,0,"씨나몬(주)홈초이스,(주)스폰지이엔티",스페인,페드로 알모도바르,코미디,드라마,가족,,,,
빌리 진 킹: 세기의 대결,158890000,20018,2,1.6,"미국,영국","발레리 페리스,조나단 데이턴",드라마,,,,,,
극장판 어드벤처 타임: 비밀의 아일랜드,163679600,19986,2,(주)팝엔터테인먼트,미국,엘리자베스 이토,코미디,드라마,,,,,
러브레이스,139215138,19933,2,씨너스엔터테인먼트(주),미국,"롭 엡스타인,제프리 프리드먼",공포(호러),액션,,,,,
슈퍼처방전,148079000,19919,0,(주)영화사 빅,"프랑스,벨기에",대니 분,범죄,미스터리,,,,,
대학살의 신,147873500,19917,0,판씨네마(주),"프랑스,독일,폴란드,스페인",로만 폴란스키,공포(호러),,,,,,
세상의 끝까지 21일,147134500,19896,2,(주)드림웨스트픽쳐스,미국,로렌 스카파리아,코미디,액션,어드벤처,,,,
누구에게나 찬란한,136184900,19865,3,CGV아트하우스,한국,임유철,코미디,멜로/로맨스,,,,,
,,,0,,,,공연,,,,,,
"화성아이, 지구아빠",128656500,19856,2,씨제이 씨지브이(CJ CGV)(주),미국,메노 메이제스,드라마,,,,,,
섬. 사라진 사람들,159605900,19842,3,(주)콘텐츠판다,한국,이지승,애니메이션,어드벤처,,,,,
D-day-어느날 갑자기 세번째 이야기,120192500,19812,3,2.6,한국,김은경,드라마,,,,,,
아이 앰 히스 레저,158340439,19771,0,오드,캐나다,"아드리안 부이텐후이스,데릭 머레이",드라마,,,,,,
첫눈,125580000,19734,3,2.6,"한국,일본",한상희,드라마,판타지,,,,,
파괴자들,141102068,19716,2,1.4,"미국,캐나다",스티븐 세인버그,드라마,,,,,,
,,,0,,,,코미디,범죄,,,,,
칠드런 오브 맨,161598200,19648,0,"영화사 마농(주),(주)씨네클럽봉봉미엘","영국,미국",알폰소 쿠아론,드라마,,,,,,
사막에서 연어낚시,148868500,19630,0,"(주)나이너스엔터테인먼트,(유)영화사 화수분",영국,라세 할스트롬,액션,코미디,멜로/로맨스,,,,
,,,0,,,,드라마,가족,,,,,
극장판 가면라이더 이그제이드: 트루 엔딩,154121050,19598,1,(주)이수C&E,일본,나카자와 쇼지로,드라마,스릴러,,,,,
,,,0,,,,애니메이션,액션,가족,,,,
,,,0,,,,스릴러,,,,,,
B급 며느리,152690100,19570,3,"(주)에스와이코마드,글뫼 주식회사",한국,선호빈,애니메이션,,,,,,
쏘우-여섯번의 기회,156444000,19516,2,(주)빅버젯,미국,케빈 그루터트,드라마,멜로/로맨스,,,,,
픽시,139428100,19508,0,(주)팝엔터테인먼트,러시아,"바시코 베도슈빌리,이반 프숀킨,안드레이 콜핀",드라마,,,,,,
달팽이의 별,134331800,19451,3,(주)영화사조아,한국,이승준,드라마,멜로/로맨스,,,,,
스페이스 독 2,121383600,19445,0,(주)지어소프트,러시아,"이나 예블라니코바,알렉산더 크람초프,바딤 소츠코프",다큐멘터리,,,,,,
뚜르: 내 생애 최고의 49일,141574700,19440,3,(주)리틀빅픽쳐스,한국,"임정하,전일우,박형준,김양래",액션,,,,,,
,,,0,,,,드라마,,,,,,
테이크다운,135780500,19415,0,(주)에스비에스콘텐츠허브,"영국,미국",에란 크리비,드라마,,,,,,
립반윙클의 신부,156603300,19412,1,"TCO(주)더콘텐츠온,주식회사 더쿱",일본,이와이 슌지,애니메이션,미스터리,,,,,
커터,151165500,19405,3,(주)스톰픽쳐스코리아,한국,정희성,드라마,,,,,,
마릴린 먼로와 함께한 일주일,148370000,19387,0,(주)싸이더스,"영국,미국",사이먼 커티스,멜로/로맨스,,,,,,
,,,0,,,,드라마,미스터리,,,,,
,,,0,,,,스릴러,액션,판타지,,,,
트루스,152087000,19330,2,(주)라이크 콘텐츠,미국,제임스 밴더빌트,코미디,드라마,,,,,
플래닛 테러,124562500,19324,2,2,미국,로버트 로드리게즈,드라마,멜로/로맨스,,,,,
이레셔널 맨,155721500,19287,2,(주)프레인글로벌,미국,우디 앨런,드라마,,,,,,
부니베어: 나무 도둑의 습격,129228400,19267,0,예지림엔터테인먼트,중국,정량,스릴러,,,,,,
커플 테라피: 대화가 필요해,147655000,19163,2,1.4,미국,피터 빌링슬레이,드라마,멜로/로맨스,,,,,
스쿠비-두2 : 몬스터 대소동,118785500,18954,2,2.2,미국,라자 고스넬,드라마,미스터리,,,,,
옐로우버드,146918300,18900,0,"(주)영화사오원,(주)브리즈픽처스",프랑스,"도미니크 몽페리,크리스티앙 드 비타",애니메이션,,,,,,
상실의 시대,144737800,18872,1,예지림엔터테인먼트,일본,트란 안 홍,애니메이션,,,,,,
토마스와 친구들 - 극장판 3,130697500,18857,0,에이원엔터테인먼트,영국,그렉 티어넌,액션,어드벤처,코미디,,,,
비비안 마이어를 찾아서,150367500,18829,2,오드,미국,"존 말루프,찰리 시스켈",공포(호러),미스터리,스릴러,,,,
프란치스코,131141849,18802,0,스튜디오 프로그레시브 인큐베이터,"스페인,아르헨티나,이탈리아",베다 도캄포 페이주,다큐멘터리,,,,,,
카메라를 멈추면 안 돼!,164947000,18802,1,"(주)디오시네마,(주)영화사 그램",일본,우에다 신이치로,다큐멘터리,,,,,,
다음 침공은 어디?,145654700,18744,2,판씨네마(주),미국,마이클 무어,다큐멘터리,,,,,,
슬립리스: 크리미널 나이트,146025800,18740,2,(주)미디어로그,미국,바란 보 오다르,다큐멘터리,,,,,,
올드보이,120682000,18736,3,"쇼이스트(주),3",미국,스파이크 리,코미디,가족,,,,,
엄마 까투리,61757000,18719,3,(주)키노아이디엠씨,한국,정길훈,멜로/로맨스,드라마,,,,,
그 후,142319508,18648,3,"(주)영화제작전원사 ,(주)콘텐츠판다",한국,홍상수,공연,,,,,,
빌리 엘리어트 뮤지컬 라이브,341114000,18615,2,1.4,미국,스티븐 달드리,애니메이션,,,,,,
돼지의 왕,144121300,18603,3,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),한국,0.4,멜로/로맨스,,,,,,
숏버스,126391900,18600,2,실버스푼,미국,존 카메론 밋첼,애니메이션,어드벤처,,,,,
오즈의 마법사 2,143173700,18535,0,㈜코리아스크린,멕시코,알버토 마르,스릴러,미스터리,,,,,
꼬마영웅 바비,138398000,18509,0,와이드 릴리즈(주),중국,지안밍 후앙,애니메이션,판타지,,,,,
방울토마토,115388000,18478,3,"무비즈엔터테인먼트㈜,(주)씨네라가픽쳐스",한국,정영배,스릴러,드라마,범죄,,,,
드라이브,143009500,18471,2,판씨네마(주),미국,니콜라스 윈딩 레픈,드라마,,,,,,
불량공주 모모코,118882500,18415,1,2.6,일본,나카시마 테츠야,드라마,전쟁,,,,,
셰임,139387500,18415,0,㈜영화사 백두대간,영국,스티브 맥퀸,가족,드라마,,,,,
내 생애 최고의 데이트,122230500,18401,2,2.6,미국,로버트 루케틱,드라마,,,,,,
터치,107384000,18393,3,(주)팝엔터테인먼트,한국,민병훈,애니메이션,,,,,,
무민 더 무비,133874700,18380,0,(주)팝엔터테인먼트,"핀란드,프랑스",자비에 피카르,코미디,드라마,멜로/로맨스,,,,
이스턴 프라미스,129350500,18357,2,(유)마스엔터테인먼트코리아,미국,데이빗 크로넨버그,드라마,,,,,,
나라타주,156608600,18326,1,(주)팝엔터테인먼트,일본,유키사다 이사오,다큐멘터리,,,,,,
은혼,148853500,18323,1,(주)라이크 콘텐츠,일본,후쿠다 유이치,드라마,,,,,,
비포 : 치즈와 초콜릿을 찾아서,123727000,18310,0,(주)영화사 빅,이스라엘,이도 엔젤,멜로/로맨스,드라마,,,,,
이별계약,131141000,18301,3,3,"한국,중국",오기환,애니메이션,,,,,,
,,,0,,,,판타지,공포(호러),,,,,
퀸 락 몬트리올,176894000,18269,0,㈜씨에이엔,영국,솔 스위머,애니메이션,가족,다큐멘터리,,,,
신서유기 : 몽키킹의 부활,129357400,18247,0,예지림엔터테인먼트,중국,텐 샤오펑,다큐멘터리,,,,,,
액슬,153698800,18219,2,(주)팝엔터테인먼트,미국,올리버 달리,공포(호러),,,,,,
홀리 모터스,141266400,18215,0,오드,"프랑스,독일",레오스 카락스,드라마,,,,,,
초(민망한)능력자들,136718000,18210,2,팝엔터테인먼트,"미국,영국",그랜트 헤스로브,드라마,코미디,멜로/로맨스,,,,
원 위크,134438600,18179,0,실버스푼,캐나다,마이클 맥고완,드라마,,,,,,
퍼펙트,118503500,18179,2,(주)마인스 엔터테인먼트,미국,닐스 아르덴 오플레브,코미디,,,,,,
이디야와 얼음왕국의 전설,119493200,18179,0,(주)미디어데이,캐나다,낸시 플로렌스 사바드,사극,액션,,,,,
마돈나,141358400,18149,3,(주)리틀빅픽쳐스,한국,신수원,드라마,,,,,,
한경직,107099500,18113,3,주식회사 마운틴픽쳐스,한국,천정훈,드라마,,,,,,
스톤,121122400,18061,3,씨너스엔터테인먼트(주),미국,존 커랜,공포(호러),스릴러,,,,,
,,,0,,,,멜로/로맨스,드라마,,,,,
리그레션,141042885,18057,0,(주)박수엔터테인먼트,"스페인,캐나다",알레한드로 아메나바르,전쟁,드라마,,,,,
버스 657,143676000,18042,2,(주)스톰픽쳐스코리아,미국,스콧 만,코미디,,,,,,
인카네이트,142090200,18028,2,판씨네마(주),미국,브래드 페이튼,공포(호러),스릴러,,,,,
비틀스: 에잇 데이즈 어 위크 ? 투어링 이어즈,144153025,18024,0,1.1,"영국,미국",론 하워드,멜로/로맨스,코미디,,,,,
임을 위한 행진곡,139985700,18023,3,(주)알앤오엔터테인먼트,한국,박기복,드라마,사극,,,,,
본타: 땅콩왕국의 전설,127508200,18022,0,(주)팝엔터테인먼트,중국,레오 리,다큐멘터리,,,,,,
캡틴 하록,134005500,17977,1,(주)박수엔터테인먼트,일본,아라마키 신지,애니메이션,드라마,전쟁,,,,
애프터 러브,140789000,17943,0,라인트리엔터테인먼트,이탈리아,파우스토 브리찌,드라마,,,,,,
배드 지니어스,141276336,17941,0,(주)팝엔터테인먼트,태국,나타우트 푼프리야,애니메이션,드라마,액션,판타지,,,
비기너스,141703000,17924,2,1.4,미국,마이크 밀스,범죄,액션,,,,,
레인,126776200,17915,0,(주)스폰지이엔티,프랑스,아그네스 자우이,코미디,드라마,,,,,
스페이스 치킨: 마법 부적의 비밀,123273800,17885,2,(주)박수엔터테인먼트,미국,"알렉스 오렐,에두와르도 슐츠",멜로/로맨스,,,,,,
당신자신과 당신의 것,145562200,17884,3,"(주)영화제작전원사 ,(주)콘텐츠판다",한국,홍상수,다큐멘터리,,,,,,
"불량소녀, 너를 응원해!",140509000,17875,1,글뫼 주식회사,일본,도이 노부히로,다큐멘터리,,,,,,
,,,0,,,,드라마,,,,,,
하늘과 바다,120315500,17857,3,2,한국,오달균,다큐멘터리,,,,,,
